crn,seatCapacity,seatActual,seatRemaining,waitlistCapacity,waitlistActual,waitlistRemaining
86557,0,0,0,0,0,0
54302,10,7,3,0,0,0
86465,10,0,10,0,0,0
23168,2,0,2,0,0,0
55674,15,0,15,0,0,0
52936,10,0,10,0,0,0
30220,15,0,15,0,0,0
82410,3,1,2,0,0,0
20352,25,0,25,0,0,0
88443,0,0,0,0,0,0
57495,10,3,7,0,0,0
23340,2,0,2,0,0,0
93391,10,0,10,0,0,0
55975,15,0,15,0,0,0
54111,15,12,3,0,0,0
25411,10,0,10,0,0,0
28133,10,0,10,0,0,0
94514,10,0,10,0,0,0
88444,0,0,0,0,0,0
55184,5,2,3,0,0,0
93267,10,0,10,0,0,0
21657,2,0,2,0,0,0
33506,10,1,9,0,0,0
55306,10,4,6,0,0,0
53603,15,0,15,0,0,0
20353,25,0,25,0,0,0
88882,3,0,3,0,0,0
57976,5,3,2,0,0,0
81927,0,0,0,0,0,0
53475,20,6,14,0,0,0
27772,2,0,2,0,0,0
28184,3,0,3,0,0,0
54588,15,0,15,0,0,0
90403,10,1,9,0,0,0
55424,5,0,5,0,0,0
20354,25,0,25,0,0,0
82762,5,0,5,0,0,0
53356,10,5,5,0,0,0
57949,20,3,17,0,0,0
81901,0,0,0,0,0,0
83948,10,0,10,0,0,0
29801,2,0,2,0,0,0
53604,15,0,15,0,0,0
53169,10,4,6,0,0,0
29884,5,0,5,0,0,0
20355,25,0,25,0,0,0
87088,3,0,3,0,0,0
57065,15,7,8,0,0,0
52770,20,4,16,0,0,0
89552,1,0,1,0,0,0
53605,15,0,15,0,0,0
28114,1,0,1,0,0,0
94806,10,0,10,0,0,0
58355,5,5,0,0,0,0
24294,2,0,2,0,0,0
86372,3,0,3,0,0,0
24893,20,0,20,0,0,0
54001,20,2,18,0,0,0
55685,10,4,6,0,0,0
56926,15,0,15,0,0,0
27000,2,0,2,0,0,0
88445,1,1,0,0,0,0
85891,21,2,19,0,0,0
32497,10,0,10,0,0,0
94607,10,0,10,0,0,0
59130,10,3,7,0,0,0
20950,10,0,10,0,0,0
53876,5,3,2,0,0,0
53606,15,0,15,0,0,0
84985,1,1,0,0,0,0
21647,2,0,2,0,0,0
56091,10,0,10,0,0,0
55256,10,9,1,0,0,0
87192,3,0,3,0,0,0
22389,6,1,5,0,0,0
88625,10,0,10,0,0,0
25531,20,0,20,0,0,0
55897,10,0,10,0,0,0
59834,15,0,15,0,0,0
23262,2,0,2,0,0,0
84663,0,0,0,0,0,0
57932,5,2,3,0,0,0
60589,70,22,48,0,0,0
84630,10,1,9,0,0,0
56440,8,5,3,0,0,0
58639,5,2,3,0,0,0
89518,10,0,10,0,0,0
20290,25,22,3,25,0,25
81909,1,1,0,0,0,0
21665,2,0,2,0,0,0
20356,25,12,13,0,0,0
32493,10,0,10,0,0,0
56674,35,35,0,0,0,0
55001,10,2,8,0,0,0
82481,3,0,3,0,0,0
80385,25,1,24,0,0,0
55694,20,1,19,0,0,0
25878,25,18,7,25,0,25
60586,3,2,1,0,0,0
21661,2,0,2,0,0,0
84988,0,0,0,0,0,0
20357,25,0,25,0,0,0
32455,10,0,10,0,0,0
53309,25,5,20,0,0,0
60381,40,12,28,0,0,0
86623,3,0,3,0,0,0
21695,18,16,2,25,0,25
55533,8,3,5,0,0,0
53607,15,0,15,0,0,0
82965,10,0,10,0,0,0
56852,10,0,10,0,0,0
23337,2,0,2,0,0,0
23732,3,0,3,0,0,0
81907,0,0,0,0,0,0
27092,10,1,9,0,0,0
52935,10,2,8,0,0,0
59149,10,3,7,5,0,5
28027,25,24,1,25,0,25
94460,10,0,10,0,0,0
55898,10,0,10,0,0,0
56465,3,0,3,0,0,0
80386,25,1,24,0,0,0
55985,15,0,15,0,0,0
27001,2,0,2,0,0,0
20358,25,0,25,0,0,0
84363,0,0,0,0,0,0
32491,10,0,10,0,0,0
56735,5,0,5,0,0,0
94520,10,0,10,0,0,0
60485,20,14,6,5,0,5
32907,25,24,1,25,0,25
52912,20,4,16,0,0,0
54589,15,0,15,0,0,0
55186,5,3,2,0,0,0
80388,25,0,25,0,0,0
26705,2,0,2,0,0,0
25570,10,0,10,0,0,0
26215,3,0,3,0,0,0
88446,0,0,0,0,0,0
94524,10,0,10,0,0,0
52934,10,7,3,0,0,0
26777,18,16,2,25,0,25
53239,2,1,1,0,0,0
57439,50,42,8,150,0,150
54765,10,4,6,0,0,0
53608,15,0,15,0,0,0
80389,25,0,25,0,0,0
32702,2,0,2,0,0,0
32344,10,0,10,0,0,0
83855,288,281,7,0,0,0
27625,3,2,1,0,0,0
83680,0,0,0,0,0,0
55206,10,9,1,0,0,0
58116,20,3,17,0,0,0
90453,3,0,3,0,0,0
32908,18,13,5,25,0,25
57613,50,27,23,0,0,0
32701,2,0,2,0,0,0
60523,5,1,4,0,0,0
53609,15,0,15,0,0,0
88582,10,1,9,0,0,0
25025,21,0,21,0,0,0
83860,24,24,0,3,0,3
32500,10,0,10,0,0,0
83900,0,0,0,0,0,0
57933,10,6,4,0,0,0
58524,60,12,48,0,0,0
93133,3,0,3,0,0,0
29141,18,17,0,25,5,20
54002,20,2,18,0,0,0
57378,10,3,7,0,0,0
56388,10,0,10,0,0,0
21651,2,0,2,0,0,0
85716,25,0,25,0,0,0
23379,3,0,3,0,0,0
83857,24,24,0,3,0,3
57580,15,3,12,0,0,0
57389,45,20,25,0,0,0
94534,10,0,10,0,0,0
20914,25,9,16,25,0,25
81917,1,1,0,0,0,0
60109,3,1,2,0,0,0
57377,10,0,10,0,0,0
53610,15,1,14,0,0,0
21655,2,0,2,0,0,0
83858,24,22,2,4,0,4
85842,20,0,20,0,0,0
26442,8,0,8,0,0,0
57640,15,2,13,0,0,0
57801,35,34,1,150,0,150
21943,25,10,15,25,0,25
85687,10,2,8,0,0,0
57414,10,0,10,0,0,0
56734,9,6,3,0,0,0
26073,2,0,2,0,0,0
53611,15,0,15,0,0,0
89553,0,0,0,0,0,0
23310,92,92,0,0,0,0
80390,25,1,24,0,0,0
89447,24,24,0,4,0,4
26360,10,0,10,0,0,0
60919,5,1,4,0,0,0
57390,50,35,15,0,0,0
25416,21,0,21,0,0,0
29142,18,18,0,25,2,23
95165,5,1,4,0,0,0
60856,3,1,2,0,0,0
23311,23,23,0,4,1,3
52774,20,0,20,0,0,0
88813,10,2,8,0,0,0
83859,24,24,0,4,0,4
92577,0,0,0,0,0,0
54590,15,0,15,0,0,0
24847,2,0,2,0,0,0
25596,18,0,18,0,0,0
30293,10,0,10,0,0,0
52932,10,2,8,0,0,0
30975,20,18,2,25,0,25
23514,23,23,0,4,4,0
83642,3,0,3,0,0,0
53178,10,2,8,0,0,0
84090,24,24,0,4,0,4
82387,10,0,10,0,0,0
56169,3,1,2,0,0,0
84989,0,0,0,0,0,0
53612,15,0,15,0,0,0
28286,3,0,3,0,0,0
21659,2,0,2,0,0,0
30896,10,1,9,0,0,0
52933,10,0,10,0,0,0
30978,20,20,0,25,0,25
23313,23,23,0,4,0,4
83904,3,0,3,0,0,0
83369,10,0,10,0,0,0
54591,15,0,15,0,0,0
24292,2,0,2,0,0,0
83871,24,23,1,4,0,4
54304,5,4,1,0,0,0
88441,0,0,0,0,0,0
52775,20,2,18,0,0,0
25024,21,0,21,0,0,0
56184,5,1,4,0,0,0
33065,30,29,0,25,1,24
23312,0,0,0,16,0,16
80391,25,0,25,0,0,0
88071,3,0,3,0,0,0
84502,24,24,0,4,0,4
81905,0,0,0,0,0,0
57496,10,2,8,0,0,0
21823,2,0,2,0,0,0
52776,20,6,14,0,0,0
32385,10,0,10,0,0,0
53894,2,0,2,0,0,0
32796,1,1,0,25,0,25
87797,3,0,3,0,0,0
33646,23,23,0,4,0,4
84983,10,0,10,0,0,0
83861,24,22,2,4,0,4
56669,10,2,8,0,0,0
83804,0,0,0,0,0,0
21645,2,0,2,0,0,0
56122,10,3,7,0,0,0
25026,21,0,21,0,0,0
57193,10,6,4,0,0,0
32909,20,6,14,25,0,25
87688,3,0,3,0,0,0
26879,246,220,26,0,0,0
82318,0,0,0,0,0,0
84294,24,24,0,4,0,4
28424,1,0,1,0,0,0
81925,0,0,0,0,0,0
57376,5,1,4,0,0,0
21653,2,0,2,0,0,0
55695,20,7,13,0,0,0
22831,10,0,10,0,0,0
56420,20,13,7,0,0,0
31025,20,6,14,25,0,25
56456,10,0,10,0,0,0
88475,5,0,5,0,0,0
31545,22,18,4,4,0,4
83870,24,24,0,4,0,4
29583,5,1,4,0,0,0
80339,25,2,23,0,0,0
32697,2,0,2,0,0,0
52777,20,2,18,0,0,0
53105,10,0,10,0,0,0
81921,1,1,0,0,0,0
25485,10,0,10,0,0,0
53704,10,4,6,0,0,0
54592,15,0,15,0,0,0
88968,3,0,3,0,0,0
80308,25,25,0,25,0,25
32358,1,1,0,0,0,0
31546,22,21,1,4,0,4
94804,12,11,1,2,0,2
94438,10,0,10,0,0,0
21887,5,0,5,0,0,0
58451,6,3,3,0,0,0
27790,20,0,20,0,0,0
83897,1,1,0,0,0,0
23710,10,0,10,0,0,0
55857,10,3,7,0,0,0
54593,15,0,15,0,0,0
33579,1,1,0,0,0,0
94549,10,0,10,0,0,0
31978,22,22,0,4,0,4
86959,25,25,0,25,0,25
94805,12,11,1,2,0,2
32462,10,0,10,0,0,0
89520,10,6,4,0,0,0
28893,20,0,20,0,0,0
53347,4,3,1,0,0,0
54621,2,0,2,0,0,0
33694,1,1,0,0,0,0
88442,0,0,0,0,0,0
81956,18,16,2,25,0,25
83961,3,1,2,0,0,0
83856,240,239,1,0,0,0
31548,22,22,0,4,0,4
22028,5,1,4,0,0,0
80350,25,0,25,0,0,0
33671,10,1,9,0,0,0
53937,6,3,3,0,0,0
24277,75,48,27,10,0,10
53898,10,3,7,0,0,0
88032,1,1,0,0,0,0
31028,20,6,14,25,0,25
94957,10,1,9,0,0,0
83862,24,24,0,4,0,4
25042,5,0,5,0,0,0
94988,10,1,9,0,0,0
31549,22,22,0,4,0,4
22044,10,0,10,0,0,0
57375,5,0,5,0,0,0
22836,75,48,27,10,0,10
53317,10,1,9,0,0,0
95090,1,1,0,0,0,0
85944,3,3,0,0,0,0
83863,24,24,0,4,0,4
23589,3,0,3,0,0,0
82375,15,6,9,0,0,0
31552,22,20,2,4,0,4
32343,10,0,10,0,0,0
54303,7,5,2,0,0,0
26403,90,82,8,10,0,10
53228,20,0,20,0,0,0
59862,15,0,15,0,0,0
81911,0,0,0,0,0,0
94553,10,0,10,0,0,0
83864,24,23,1,4,0,4
90116,10,0,10,0,0,0
22670,3,0,3,0,0,0
31553,22,22,0,4,0,4
26559,10,0,10,0,0,0
56344,10,0,10,0,0,0
21031,90,83,7,10,0,10
53674,10,0,10,0,0,0
53613,15,0,15,0,0,0
94844,18,15,3,25,0,25
87573,10,3,7,0,0,0
31555,22,19,3,4,0,4
81915,1,1,0,0,0,0
82495,3,0,3,0,0,0
22642,6,0,6,0,0,0
83865,24,24,0,4,0,4
21829,5,1,4,0,0,0
56372,10,0,10,0,0,0
30437,36,20,16,0,0,0
59129,5,1,4,0,0,0
53614,15,0,15,0,0,0
95104,18,16,2,25,0,25
82468,0,0,0,0,0,0
31557,22,10,12,4,0,4
93329,1,0,1,0,0,0
22682,10,0,10,0,0,0
83232,10,6,4,0,0,0
83866,24,24,0,4,0,4
32503,10,0,10,0,0,0
28529,78,71,7,0,0,0
56903,20,6,14,0,0,0
55994,15,0,15,0,0,0
56307,10,2,8,0,0,0
89965,25,15,10,25,0,25
87207,3,2,1,0,0,0
31558,22,22,0,4,0,4
94559,10,0,10,0,0,0
28220,10,0,10,0,0,0
20555,19,19,0,2,5,-3
26626,5,0,5,0,0,0
83867,24,24,0,4,0,4
55941,10,6,4,0,0,0
53615,15,0,15,0,0,0
83229,10,4,6,0,0,0
85667,0,0,0,0,0,0
88137,18,16,2,25,0,25
90397,3,0,3,0,0,0
31543,22,22,0,4,0,4
25486,10,0,10,0,0,0
83868,24,24,0,4,0,4
23598,20,0,20,0,0,0
90115,10,0,10,0,0,0
55902,10,0,10,0,0,0
20557,15,15,0,3,3,0
53616,15,0,15,0,0,0
81919,0,0,0,0,0,0
91564,25,24,1,25,0,25
23515,230,225,5,0,0,0
25484,10,0,10,0,0,0
21685,12,0,12,0,0,0
83869,12,12,0,2,0,2
94566,10,0,10,0,0,0
85705,20,5,15,0,0,0
57415,10,4,6,0,0,0
53617,15,0,15,0,0,0
20558,19,19,0,2,5,-3
84987,0,0,0,0,0,0
95103,18,7,11,25,0,25
23683,22,22,0,4,1,3
30322,10,0,10,0,0,0
21854,5,0,5,0,0,0
84099,24,24,0,4,0,4
83614,3,1,2,0,0,0
24438,18,18,0,0,0,0
57995,5,2,3,0,0,0
53618,15,0,15,0,0,0
80345,25,3,22,0,0,0
81031,25,24,1,25,0,25
82105,0,0,0,0,0,0
23723,20,19,1,4,0,4
30216,10,0,10,0,0,0
84293,12,12,0,2,0,2
32428,10,0,10,0,0,0
85814,5,0,5,0,0,0
21764,18,15,3,0,0,0
56003,15,0,15,0,0,0
54675,10,0,10,0,0,0
80346,25,0,25,0,0,0
82238,25,10,15,25,0,25
25218,22,22,0,4,0,4
28376,10,0,10,0,0,0
26709,3,0,3,0,0,0
86737,24,24,0,3,0,3
21765,3,3,0,1,0,1
89756,5,1,4,0,0,0
81903,0,0,0,0,0,0
53619,15,0,15,0,0,0
53357,5,5,0,0,0,0
90085,10,7,3,0,0,0
91565,25,12,13,25,0,25
24035,22,22,0,4,0,4
23383,10,0,10,0,0,0
32465,10,0,10,0,0,0
82780,3,0,3,0,0,0
21766,6,6,0,0,0,0
81913,0,0,0,0,0,0
53620,15,0,15,0,0,0
84091,268,264,4,0,0,0
58021,5,0,5,0,0,0
80347,25,3,22,0,0,0
82239,20,19,1,25,0,25
32294,10,0,10,0,0,0
23685,20,20,0,4,0,4
27455,3,0,3,0,0,0
24439,3,3,0,1,0,1
56174,15,0,15,0,0,0
84986,0,0,0,0,0,0
58692,5,3,2,0,0,0
81973,4,0,4,0,0,0
84295,21,21,0,3,0,3
80348,25,1,24,0,0,0
86121,20,16,4,25,0,25
23865,20,20,0,4,0,4
33800,10,0,10,0,0,0
28530,6,3,3,0,0,0
89589,20,19,1,0,0,0
56915,15,0,15,0,0,0
90009,3,0,3,0,0,0
32468,10,0,10,0,0,0
84351,22,21,1,3,0,3
58486,3,1,2,0,0,0
80349,25,2,23,0,0,0
91488,23,15,8,25,0,25
24273,20,19,1,4,0,4
32345,10,1,9,0,0,0
20559,105,102,3,0,0,0
93513,20,17,3,0,0,0
53621,15,0,15,0,0,0
88315,22,21,1,3,0,3
27957,5,0,5,0,0,0
88028,3,0,3,0,0,0
85715,20,2,18,0,0,0
53745,2,0,2,0,0,0
89557,30,24,6,0,0,0
26887,22,20,2,4,0,4
54594,15,0,15,0,0,0
25741,125,125,0,10,1,9
25058,21,0,21,0,0,0
83095,3,0,3,0,0,0
27301,5,0,5,0,0,0
84966,105,73,32,0,0,0
81030,20,8,12,0,0,0
58020,6,4,2,0,0,0
84714,22,22,0,3,0,3
91066,15,12,3,25,0,25
29858,20,20,0,4,0,4
27155,10,0,10,0,0,0
56158,15,0,15,0,0,0
25742,17,17,0,3,4,-1
82498,5,0,5,0,0,0
29969,5,0,5,0,0,0
52834,10,1,9,0,0,0
86513,20,10,10,0,0,0
83279,105,80,25,0,0,0
92519,15,14,1,0,0,0
23684,20,20,0,4,0,4
27752,10,0,10,0,0,0
84297,21,21,0,3,0,3
53622,15,0,15,0,0,0
88797,5,0,5,0,0,0
54764,10,1,9,0,0,0
25743,19,19,0,1,4,-3
24868,25,0,25,0,0,0
80351,160,102,58,0,0,0
87650,105,75,30,0,0,0
27702,22,21,1,4,0,4
20359,25,0,25,0,0,0
30368,3,0,3,0,0,0
52835,10,5,5,0,0,0
80352,25,5,20,0,0,0
25744,18,18,0,2,5,-3
81962,10,0,10,0,0,0
84961,21,21,0,3,0,3
81158,105,72,33,0,0,0
53623,15,0,15,0,0,0
23864,101,101,0,0,0,0
22565,10,0,10,0,0,0
22158,2,0,2,0,0,0
89361,21,21,0,3,0,3
59840,5,1,4,0,0,0
25745,16,16,0,4,4,0
23866,22,22,0,4,2,2
94582,10,0,10,0,0,0
92029,1,1,0,0,0,0
88549,10,9,1,0,0,0
56092,15,0,15,0,0,0
93677,36,18,18,0,0,0
29921,5,0,5,0,0,0
20360,25,0,25,0,0,0
84962,23,22,1,3,0,3
56678,10,4,6,0,0,0
25746,17,17,0,7,6,1
92520,5,0,5,0,0,0
90529,75,58,17,0,0,0
55966,15,0,15,0,0,0
80991,10,0,10,0,0,0
23867,22,22,0,4,2,2
84323,3,0,3,0,0,0
24634,5,0,5,0,0,0
60701,10,1,9,0,0,0
20361,25,0,25,0,0,0
84503,24,24,0,3,0,3
57416,10,5,5,0,0,0
25946,75,73,2,0,0,0
91067,5,0,5,0,0,0
23869,12,12,0,2,1,1
80644,18,18,0,0,0,0
94638,10,0,10,0,0,0
53912,15,0,15,0,0,0
80353,25,3,22,0,0,0
23280,3,0,3,0,0,0
92709,23,23,0,3,0,3
60427,300,170,130,50,0,50
21060,92,92,0,2,2,0
57374,10,1,9,0,0,0
80646,18,18,0,0,0,0
23870,22,22,0,4,2,2
87292,3,0,3,0,0,0
94396,10,1,9,0,0,0
53624,15,0,15,0,0,0
25964,3,0,3,0,0,0
84296,24,23,1,3,0,3
60847,1,1,0,0,0,0
30438,125,107,18,0,0,0
56670,10,0,10,0,0,0
87988,3,0,3,0,0,0
23519,23,23,0,4,1,3
87834,10,0,10,0,0,0
80647,18,14,4,0,0,0
53625,15,0,15,0,0,0
26689,3,0,3,0,0,0
60435,300,85,215,999,0,999
89362,24,24,0,3,0,3
56671,10,0,10,0,0,0
30444,5,0,5,0,0,0
20362,25,0,25,0,0,0
87904,3,0,3,0,0,0
82461,10,3,7,0,0,0
85155,18,8,10,0,0,0
53555,15,0,15,0,0,0
26430,5,0,5,0,0,0
20667,0,0,0,16,0,16
57222,25,19,6,0,0,0
30523,50,50,0,5,0,5
58661,5,2,3,0,0,0
20363,25,1,24,0,0,0
87977,10,0,10,0,0,0
94643,10,0,10,0,0,0
53556,15,0,15,0,0,0
84501,240,240,0,0,0,0
82028,18,15,3,0,0,0
26067,3,0,3,0,0,0
30524,15,12,3,0,0,0
32802,80,80,0,0,0,0
58022,175,153,22,50,0,50
56345,10,3,7,0,0,0
27120,10,0,10,0,0,0
95134,10,1,9,0,0,0
82827,8,4,4,0,0,0
56126,15,0,15,0,0,0
84504,24,24,0,4,0,4
82029,3,1,2,0,0,0
26549,1,0,1,0,0,0
20551,25,25,0,20,20,0
56621,10,0,10,0,0,0
23516,23,23,0,4,0,4
22679,2,0,2,0,0,0
60605,10,3,7,0,0,0
24895,25,0,25,0,0,0
84399,10,0,10,0,0,0
94634,10,0,10,0,0,0
57096,10,0,10,0,0,0
84505,24,24,0,4,0,4
82030,6,6,0,0,0,0
23518,12,12,0,2,2,0
32314,15,12,3,5,0,5
57172,10,0,10,0,0,0
26653,2,0,2,0,0,0
30267,3,0,3,0,0,0
25011,20,0,20,0,0,0
53245,10,3,7,0,0,0
94301,10,7,3,0,0,0
94466,10,0,10,0,0,0
55459,15,0,15,0,0,0
84506,24,24,0,4,0,4
85156,3,3,0,0,0,0
32081,10,5,5,0,0,0
23871,22,22,0,4,1,3
27006,2,0,2,0,0,0
59964,10,0,10,0,0,0
23216,10,0,10,0,0,0
20364,25,0,25,0,0,0
54762,5,1,4,0,0,0
84204,10,7,3,0,0,0
54146,15,0,15,0,0,0
84484,3,2,1,0,0,0
84512,24,24,0,4,0,4
90530,6,5,1,0,0,0
33286,25,25,0,0,0,0
23517,23,23,0,2,1,1
56771,10,0,10,0,0,0
22798,4,0,4,0,0,0
27299,10,0,10,0,0,0
28185,3,0,3,0,0,0
55096,15,5,10,0,0,0
52833,10,0,10,0,0,0
84487,3,0,3,0,0,0
89521,10,0,10,0,0,0
84508,24,24,0,4,0,4
80648,110,66,44,0,0,0
30525,60,49,11,0,0,0
23513,200,170,30,10,0,10
59661,10,1,9,0,0,0
22055,10,1,9,0,0,0
27769,2,0,2,0,0,0
57097,10,1,9,0,0,0
94475,10,0,10,0,0,0
80354,25,1,24,0,0,0
84509,24,24,0,4,0,4
82031,40,33,7,0,0,0
30538,48,47,1,0,0,0
32709,45,35,10,0,0,0
56528,10,0,10,0,0,0
57417,10,5,5,0,0,0
22882,10,0,10,0,0,0
27007,2,0,2,0,0,0
82519,10,3,7,0,0,0
30539,48,46,2,0,0,0
81991,5,1,4,0,0,0
84097,24,24,0,4,0,4
86748,105,70,35,0,0,0
55043,15,0,15,0,0,0
32711,6,6,0,4,0,4
57350,10,0,10,0,0,0
55903,10,0,10,0,0,0
20365,25,0,25,0,0,0
80355,25,1,24,0,0,0
25415,1,0,1,0,0,0
85263,5,2,3,0,0,0
84507,24,24,0,4,0,4
86751,18,16,2,0,0,0
55675,15,0,15,0,0,0
32084,5,1,4,0,0,0
32712,6,6,0,4,0,4
55805,10,0,10,0,0,0
57373,10,0,10,0,0,0
24288,10,0,10,0,0,0
30540,15,6,9,0,0,0
80358,25,0,25,0,0,0
24300,2,0,2,0,0,0
80776,24,24,0,4,0,4
94483,10,0,10,0,0,0
86752,18,18,0,0,0,0
55976,15,2,13,0,0,0
56346,20,11,9,0,0,0
56644,10,0,10,0,0,0
32713,6,6,0,4,1,3
26647,3,0,3,0,0,0
20366,25,0,25,0,0,0
30541,15,6,9,0,0,0
22459,2,1,1,0,0,0
80359,25,2,23,0,0,0
84511,24,24,0,4,0,4
92932,5,1,4,0,0,0
32714,6,6,0,4,0,4
53558,15,0,15,0,0,0
55185,5,2,3,0,0,0
55120,15,0,15,0,0,0
86753,18,17,1,0,0,0
26235,3,1,2,0,0,0
20315,25,2,23,0,0,0
23113,2,0,2,0,0,0
88583,10,5,5,0,0,0
83300,96,96,0,0,0,0
94488,10,0,10,0,0,0
54595,15,0,15,0,0,0
86754,18,10,8,0,0,0
32348,10,0,10,0,0,0
32715,6,6,0,4,0,4
55103,10,0,10,0,0,0
56373,10,3,7,0,0,0
25967,8,3,5,0,0,0
27008,2,0,2,0,0,0
85701,20,2,18,0,0,0
87762,5,2,3,0,0,0
53559,15,0,15,0,0,0
84092,24,24,0,4,0,4
55121,15,0,15,0,0,0
86755,18,7,11,0,0,0
27753,10,2,8,0,0,0
54668,10,2,8,0,0,0
32716,6,6,0,4,0,4
23786,3,0,3,0,0,0
24158,0,0,0,0,0,0
85843,20,11,9,0,0,0
83304,24,24,0,4,0,4
84470,5,0,5,0,0,0
56620,10,0,10,0,0,0
53560,15,0,15,0,0,0
33740,10,1,9,0,0,0
87059,150,128,22,0,0,0
60733,5,1,4,0,0,0
32710,56,24,32,0,0,0
32476,10,0,10,0,0,0
21870,2,0,2,0,0,0
80363,25,17,8,0,0,0
29170,15,5,10,0,0,0
83303,24,24,0,4,0,4
81189,120,72,48,0,0,0
55581,10,0,10,0,0,0
22000,10,0,10,0,0,0
56927,15,0,15,0,0,0
58500,6,3,3,0,0,0
94917,10,1,9,0,0,0
26164,5,0,5,0,0,0
22179,175,166,9,30,0,30
88814,25,10,15,0,0,0
27958,15,5,10,0,0,0
22045,15,2,13,0,0,0
57111,10,3,7,0,0,0
53561,15,0,15,0,0,0
90007,5,0,5,0,0,0
83301,24,24,0,4,0,4
94663,4,4,0,0,0,0
55642,5,0,5,0,0,0
31980,5,0,5,0,0,0
20898,167,166,0,25,3,22
83016,20,11,9,0,0,0
30527,15,15,0,0,0,0
28141,10,0,10,0,0,0
56374,10,0,10,0,0,0
81575,264,259,5,0,0,0
53562,15,1,14,0,0,0
88620,3,0,3,0,0,0
55122,15,0,15,0,0,0
31974,25,25,0,0,0,0
83584,10,4,6,0,0,0
27131,6,1,5,0,0,0
32684,200,198,2,25,0,25
26344,10,2,8,0,0,0
87925,3,0,3,0,0,0
53947,5,0,5,0,0,0
82916,60,44,16,0,0,0
55986,15,1,14,0,0,0
24105,2,0,2,0,0,0
80777,24,23,1,4,0,4
60722,10,1,9,0,0,0
80365,25,0,25,0,0,0
32479,10,0,10,0,0,0
32523,185,115,70,0,0,0
22794,10,1,9,0,0,0
57195,10,1,9,0,0,0
90251,10,6,4,0,0,0
83103,10,0,10,0,0,0
55012,15,0,15,0,0,0
54596,15,0,15,0,0,0
80778,24,24,0,4,0,4
26183,8,0,8,0,0,0
84939,10,0,10,0,0,0
32524,14,14,0,14,6,8
22098,2,0,2,0,0,0
22113,10,1,9,0,0,0
55420,5,0,5,0,0,0
94574,10,0,10,0,0,0
53875,10,4,6,0,0,0
87979,1,0,1,0,0,0
53563,15,0,15,0,0,0
32481,10,0,10,0,0,0
80779,24,24,0,4,0,4
32525,14,13,0,14,3,11
27770,2,0,2,0,0,0
22791,10,2,8,0,0,0
86985,3,2,1,0,0,0
60027,10,1,9,0,0,0
60574,6,3,3,0,0,0
88447,1,0,1,0,0,0
83302,24,23,1,4,0,4
33287,20,19,1,0,0,0
53564,15,1,14,0,0,0
22826,3,1,2,0,0,0
29800,2,0,2,0,0,0
32526,12,4,8,5,0,5
28140,10,0,10,0,0,0
93205,10,10,0,0,0,0
55786,10,0,10,0,0,0
29729,25,9,16,0,0,0
56389,10,0,10,0,0,0
55682,5,2,3,0,0,0
84997,1,0,1,0,0,0
84094,24,24,0,4,0,4
25059,10,0,10,0,0,0
24884,20,1,19,0,0,0
23789,2,0,2,0,0,0
32527,13,14,0,5,1,4
84455,3,0,3,0,0,0
57630,10,0,10,0,0,0
29731,25,9,16,0,0,0
53565,15,2,13,0,0,0
57418,10,0,10,0,0,0
83236,3,3,0,0,0,0
27580,8,0,8,0,0,0
84096,24,24,0,4,0,4
91578,20,13,7,0,0,0
20321,25,2,23,0,0,0
27009,2,0,2,0,0,0
31975,25,9,16,0,0,0
53566,15,0,15,0,0,0
87305,3,0,3,0,0,0
32528,14,14,0,5,2,3
27920,5,0,5,0,0,0
80775,24,23,1,4,0,4
89550,1,0,1,0,0,0
56347,10,1,9,0,0,0
58097,10,0,10,0,0,0
88227,20,13,7,0,0,0
20322,25,0,25,0,0,0
31524,30,7,23,0,0,0
23071,2,0,2,0,0,0
89153,3,1,2,0,0,0
32530,14,14,0,14,5,9
53557,5,3,2,0,0,0
57930,12,9,3,0,0,0
88448,1,0,1,0,0,0
22168,3,0,3,0,0,0
94822,24,24,0,4,0,4
55174,5,0,5,0,0,0
89928,48,40,8,20,0,20
28112,10,3,7,0,0,0
20507,30,29,1,0,0,0
24296,2,0,2,0,0,0
89154,3,1,2,0,0,0
54597,15,0,15,0,0,0
32531,14,14,0,14,1,13
58218,6,1,5,0,0,0
86363,1,1,0,0,0,0
21865,10,0,10,0,0,0
84095,24,23,1,4,0,4
30528,30,24,6,0,0,0
80637,30,29,1,20,0,20
20323,25,0,25,0,0,0
88009,3,0,3,0,0,0
58588,10,2,8,0,0,0
53567,15,4,11,0,0,0
24299,2,0,2,0,0,0
32824,14,14,0,5,3,2
55899,10,2,8,0,0,0
28275,7,0,7,0,0,0
84996,1,0,1,0,0,0
84098,24,23,1,4,0,4
20324,25,0,25,0,0,0
33122,30,10,20,0,0,0
21809,5,0,5,0,0,0
54598,15,0,15,0,0,0
59933,10,0,10,0,0,0
93272,15,0,15,0,0,0
32825,14,14,0,5,4,1
84093,24,24,0,4,0,4
58751,1,0,1,0,0,0
82833,2,2,0,0,0,0
26053,5,0,5,0,0,0
95225,5,1,4,0,0,0
20325,25,1,24,0,0,0
60888,10,1,9,0,0,0
33123,40,22,18,0,0,0
56457,10,0,10,0,0,0
86358,10,4,6,0,0,0
23771,2,0,2,0,0,0
32532,220,166,54,0,0,0
84088,195,161,34,15,0,15
53703,5,0,5,0,0,0
