courseTerm|crn|seatCapacity|seatActual|seatRemaining|waitlistCapacity|waitlistActual|waitlistRemaining
202302|28301|25|0|25|5|0|5
202205|57363|25|18|7|0|0|0
202205|56825|10|0|10|0|0|0
202208|93590|125|122|3|0|0|0
202205|56578|10|0|10|0|0|0
202208|91346|70|68|2|0|0|0
202302|27404|5|0|5|0|0|0
202302|28296|25|0|25|5|0|5
202205|57364|25|18|7|0|0|0
202205|56128|10|0|10|0|0|0
202208|93395|25|24|1|10|0|10
202302|27405|5|0|5|0|0|0
202208|91347|65|39|26|0|0|0
202302|28302|50|0|50|0|0|0
202205|56540|15|3|12|0|0|0
202205|53427|10|0|10|0|0|0
202208|93396|25|25|0|10|0|10
202208|92325|50|1|49|0|0|0
202302|20002|48|0|48|0|0|0
202205|55697|15|7|8|0|0|0
202302|28303|25|0|25|5|0|5
202205|52651|10|1|9|0|0|0
202208|88231|5|3|2|0|0|0
202208|93397|25|23|2|10|0|10
202302|28304|25|0|25|5|0|5
202205|57343|25|9|16|0|0|0
202205|57529|10|0|10|0|0|0
202302|24597|70|0|70|0|0|0
202208|88232|7|4|3|0|0|0
202208|93400|25|26|0|10|0|10
202205|56187|10|0|10|0|0|0
202205|57338|40|23|17|0|0|0
202302|31917|50|0|50|15|0|15
202302|25075|17|0|17|0|0|0
202208|89196|5|2|3|0|0|0
202208|93401|25|24|1|10|0|10
202205|52552|10|0|10|0|0|0
202302|30476|15|0|15|5|0|5
202205|57360|25|9|16|0|0|0
202302|28199|55|0|55|0|0|0
202208|89198|5|4|1|0|0|0
202208|92993|50|50|0|0|0|0
202302|30475|10|0|10|0|0|0
202205|53979|10|0|10|0|0|0
202205|55698|7|6|1|0|0|0
202208|80002|57|56|1|0|0|0
202302|28200|55|0|55|0|0|0
202208|91740|50|49|1|15|0|15
202205|56166|10|0|10|0|0|0
202205|57346|25|3|22|0|0|0
202302|33717|24|0|24|5|0|5
202208|84943|70|61|9|0|0|0
202302|31154|17|0|17|0|0|0
202208|93664|20|18|2|0|0|0
202205|56861|10|1|9|0|0|0
202205|55960|10|4|6|0|0|0
202208|85462|20|3|17|0|0|0
202302|27406|5|0|5|0|0|0
202302|22021|5|0|5|0|0|0
202208|93593|19|14|5|5|0|5
