courseTerm,courseMajor,courseTitle,courseCRN,courseArea,courseSection,courseClass,courseTime,courseDay,courseLocation,courseInstructor,courseUniversity,courseCredit,courseAttribute
202202,Air Force Aerospace Studies,Air Force Leadership,Lab,27671,AS 1000,Class,6:30 am - 7:45 am,TR,TBA,Mandela Edward  Littleton,"GraduateSemester,UndergraduateSemester",1.000 Credits,
202202,Air Force Aerospace Studies,Foundations of the AF II,32156,AS 1120,A1,Class,8:25 am - 9:15 am,R,O'Keefe 202,Mandela Edward  Littleton,"GraduateSemester,UndergraduateSemester",1.000 Credits,
202202,Air Force Aerospace Studies,US Air & Space Power II,32157,AS 2220,A1,Class,8:25 am - 9:15 am,T,O'Keefe 202,Timothy   Spear,"GraduateSemester,UndergraduateSemester",1.000 Credits,
202202,Air Force Aerospace Studies,Leadership Studies II,32158,AS 3320,A1,Class,8:00 am - 9:15 am,TR,O'Keefe 202,Minh Cao  Pham,"GraduateSemester,UndergraduateSemester",3.000 Credits,
202202,Air Force Aerospace Studies,Prep for Active Duty,32159,AS 4420,A1,Class,8:00 am - 9:15 am,TR,O'Keefe 202,David   Cumings,"GraduateSemester,UndergraduateSemester",3.000 Credits,
202202,Accounting,Accounting I,25245,ACCT 2101,A,Class,12:30 pm - 1:45 pm,MW,Scheller College of Business 103,Eric R  Condie,"GraduateSemester,UndergraduateSemester",3.000 Credits,
202202,Accounting,Accounting I,20643,ACCT 2101,B,Class,2:00 pm - 3:15 pm,MW,Scheller College of Business 103,Eric R  Condie,"GraduateSemester,UndergraduateSemester",3.000 Credits,
202202,Accounting,Accounting I,25244,ACCT 2101,C,Class,9:30 am - 10:45 am,TR,Scheller College of Business 102,Arnold   Schneider,"GraduateSemester,UndergraduateSemester",3.000 Credits,
202202,Accounting,Accounting I,20642,ACCT 2101,D,Class,12:30 pm - 1:45 pm,TR,Scheller College of Business 102,Arnold   Schneider,"GraduateSemester,UndergraduateSemester",3.000 Credits,
202202,Accounting,Accounting II,25261,ACCT 2102,A,Class,9:30 am - 10:45 am,TR,Scheller College of Business 224,Xi   Kuang,"GraduateSemester,UndergraduateSemester",3.000 Credits,
202202,Accounting,Accounting II,30711,ACCT 2102,B,Class,12:30 pm - 1:45 pm,TR,Scheller College of Business 222,Xi   Kuang,"GraduateSemester,UndergraduateSemester",3.000 Credits,
202202,Accounting,Accounting II,22178,ACCT 2102,C,Class,2:00 pm - 3:15 pm,TR,Scheller College of Business 222,Xi   Kuang,"GraduateSemester,UndergraduateSemester",3.000 Credits,
202108,Air Force Aerospace Studies,Air Force Leadership,Lab,89282,AS 1000,Class,6:30 am - 7:45 am,TR,TBA,Mandela Edward  Littleton,"GraduateSemester,UndergraduateSemester",1.000 Credits,
202108,Air Force Aerospace Studies,Foundations of the AF I,87776,AS 1110,A1,Class,8:25 am - 9:15 am,R,O'Keefe 202,Mandela Edward  Littleton,"GraduateSemester,UndergraduateSemester",1.000 Credits,
202108,Air Force Aerospace Studies,US Air & Space Power I,87778,AS 2210,A1,Class,8:25 am - 9:15 am,T,O'Keefe 202,Mandela Edward  Littleton,"GraduateSemester,UndergraduateSemester",1.000 Credits,
202108,Air Force Aerospace Studies,Leadership Studies I,87779,AS 3310,A1,Class,8:00 am - 9:15 am,TR,O'Keefe 202,Mandela Edward  Littleton,"GraduateSemester,UndergraduateSemester",3.000 Credits,
202108,Air Force Aerospace Studies,National Security Affair,87780,AS 4410,A1,Class,8:00 am - 9:15 am,TR,O'Keefe 202,Mandela Edward  Littleton,"GraduateSemester,UndergraduateSemester",3.000 Credits,
202108,Accounting,Accounting I,80745,ACCT 2101,A,Class,11:00 am - 12:15 pm,MW,Scheller College of Business 300,Katarzyna   Rupar,"GraduateSemester,UndergraduateSemester",3.000 Credits,
202108,Accounting,Accounting I,86105,ACCT 2101,B,Class,2:00 pm - 3:15 pm,MW,Scheller College of Business 224,Katarzyna   Rupar,"GraduateSemester,UndergraduateSemester",3.000 Credits,
202108,Accounting,Accounting I,82524,ACCT 2101,C,Class,TBA,,TBA,Arnold   Schneider,"GraduateSemester,UndergraduateSemester",3.000 Credits,
202108,Accounting,Accounting I,80744,ACCT 2101,D,Class,3:30 pm - 4:45 pm,MW,Scheller College of Business 224,Wenqian   Hu,"GraduateSemester,UndergraduateSemester",3.000 Credits,
202108,Accounting,Accounting II,82514,ACCT 2102,A,Class,9:30 am - 10:45 am,MW,Scheller College of Business 224,Ryan   Blunck,"GraduateSemester,UndergraduateSemester",3.000 Credits,
202108,Accounting,Accounting II,80746,ACCT 2102,B,Class,12:30 pm - 1:20 pm,MWF,Scheller College of Business 101,Marvin Anthony  Tingler,"GraduateSemester,UndergraduateSemester",3.000 Credits,
202108,Accounting,Accounting II,86145,ACCT 2102,C,Class,12:30 pm - 1:45 pm,TR,Scheller College of Business 300,Ryan   Blunck,"GraduateSemester,UndergraduateSemester",3.000 Credits,
202202,Applied Physiology,Sci Foundation of Health,24911,APPH 1040,A,Class,12:30 pm - 1:20 pm,MW,Scheller College of Business 100,Michele Lee  Rosbruck,UndergraduateSemester,2.000 Credits,
202202,Applied Physiology,Sci Foundation of Health,26448,APPH 1040,B,Class,2:00 pm - 2:50 pm,MW,Howey Physics L1,Michele Lee  Rosbruck,UndergraduateSemester,2.000 Credits,
202202,Applied Physiology,Sci Foundation of Health,30218,APPH 1040,C,Class,11:00 am - 12:55 pm,F,Scheller College of Business 100,Lesley   Baradel,UndergraduateSemester,2.000 Credits,
202202,Applied Physiology,Sci Foundation of Health,24441,APPH 1040,E,Class,TBA,,TBA,Teresa Kay  Snow,UndergraduateSemester,2.000 Credits,
