202108,Aerospace Engineering,Dynamics,86072,AE 2220,R,Class,4:30 pm - 5:45 pm,MW,TBA,Julia Alexandra  Muller (P),"GraduateSemester,UndergraduateSemester",3.000 Credits,"GTLMetz(UGProgram),STEMUSG,OneSemester,StudyAbroad,BranchCampusAbroad"
202108,Aerospace Engineering,AE 2220 Recitation,93504,AE 2220R,A,Class,6:30 pm - 7:45 pm,T,Guggenheim Aerospace 442,Mayuresh Jayawant  Patil (P),"GraduateSemester,UndergraduateSemester",0.000 Credits,
202108,Aerospace Engineering,AE 2220 Recitation,93505,AE 2220R,B,Class,6:30 pm - 7:45 pm,M,Guggenheim Aerospace 442,Turab Ali  Zaidi (P),"GraduateSemester,UndergraduateSemester",0.000 Credits,
202108,Aerospace Engineering,3D Dynamics,89291,AE 2221,A,Class,9:30 am - 10:45 am,TR,Van Leer C241,Mayuresh Jayawant  Patil (P),"GraduateSemester,UndergraduateSemester",1.000 Credits,
202108,Aerospace Engineering,3D Dynamics,89292,AE 2221,B,Class,2:00 pm - 2:50 pm,MWF,Van Leer E283,Turab Ali  Zaidi (P),"GraduateSemester,UndergraduateSemester",1.000 Credits,
202108,Aerospace Engineering,AE 2221 Recitation,90564,AE 2221R,A,Class,6:30 pm - 7:45 pm,T,Guggenheim Aerospace 442,Mayuresh Jayawant  Patil (P),"GraduateSemester,UndergraduateSemester",0.000 Credits,
202108,Aerospace Engineering,AE 2221 Recitation,93506,AE 2221R,B,Class,6:30 pm - 7:45 pm,M,Guggenheim Aerospace 442,Turab Ali  Zaidi (P),"GraduateSemester,UndergraduateSemester",0.000 Credits,
202108,Aerospace Engineering,Design Competition II,90897,AE 2355,A,Class,5:00 pm - 5:50 pm,T,Guggenheim Aerospace 244,"Dimitrios N  Mavris (P), Carl Christopher  Johnson","GraduateSemester,UndergraduateSemester",3.000 Credits,"TechElectCS,Engr,&Sciences"
202108,Aerospace Engineering,Design Competition II,82274,AE 2355,A01,Class,6:30 pm - 9:15 pm,TR,Guggenheim Aerospace 244,"Dimitrios N  Mavris (P), Carl Christopher  Johnson","GraduateSemester,UndergraduateSemester",0.000 Credits,"TechElectCS,Engr,&Sciences,Low-cost$40orundrreqtxtbk"
202108,Aerospace Engineering,Intro Exper Methods AE,90654,AE 2610,A,Class,12:30 pm - 1:20 pm,W,Weber SST III 2,"Wenting   Sun (P), Claudio Vinicius  Di Leo","GraduateSemester,UndergraduateSemester",1.000 Credits,STEMUSG
202108,Aerospace Engineering,Intro Exper Methods AE,86054,AE 2610,A01,Class,3:30 pm - 5:25 pm,M,Engineering Sci and Mechanics G4,"Wenting   Sun (P), Claudio Vinicius  Di Leo","GraduateSemester,UndergraduateSemester",0.000 Credits,STEMUSG
202108,Aerospace Engineering,Intro Exper Methods AE,86055,AE 2610,A02,Class,3:30 pm - 5:25 pm,T,Engineering Sci and Mechanics G4,"Wenting   Sun (P), Claudio Vinicius  Di Leo","GraduateSemester,UndergraduateSemester",0.000 Credits,STEMUSG
202108,Aerospace Engineering,Intro Exper Methods AE,86056,AE 2610,A03,Class,3:30 pm - 5:25 pm,W,Engineering Sci and Mechanics G4,"Wenting   Sun (P), Claudio Vinicius  Di Leo","GraduateSemester,UndergraduateSemester",0.000 Credits,STEMUSG
202108,Aerospace Engineering,Intro Exper Methods AE,86057,AE 2610,A04,Class,3:30 pm - 5:25 pm,R,Engineering Sci and Mechanics G4,"Wenting   Sun (P), Claudio Vinicius  Di Leo","GraduateSemester,UndergraduateSemester",0.000 Credits,STEMUSG
202108,Aerospace Engineering,Intro Exper Methods AE,86058,AE 2610,A05,Class,3:30 pm - 5:25 pm,F,Engineering Sci and Mechanics G4,"Wenting   Sun (P), Claudio Vinicius  Di Leo","GraduateSemester,UndergraduateSemester",0.000 Credits,STEMUSG
202108,Aerospace Engineering,Intro Exper Methods AE,93939,AE 2610,A06,Class,5:00 pm - 6:55 pm,M,Engineering Sci and Mechanics G4,"Wenting   Sun (P), Claudio Vinicius  Di Leo","GraduateSemester,UndergraduateSemester",0.000 Credits,STEMUSG
202108,Aerospace Engineering,Intro Exper Methods AE,93940,AE 2610,A07,Class,5:00 pm - 6:55 pm,T,Engineering Sci and Mechanics G4,"Wenting   Sun (P), Claudio Vinicius  Di Leo","GraduateSemester,UndergraduateSemester",0.000 Credits,STEMUSG
202108,Aerospace Engineering,Intro Exper Methods AE,93943,AE 2610,A08,Class,5:00 pm - 6:55 pm,W,Engineering Sci and Mechanics G4,"Wenting   Sun (P), Claudio Vinicius  Di Leo","GraduateSemester,UndergraduateSemester",0.000 Credits,STEMUSG
202108,Aerospace Engineering,Intro Exper Methods AE,93944,AE 2610,A09,Class,5:00 pm - 6:55 pm,R,Engineering Sci and Mechanics G4,"Wenting   Sun (P), Claudio Vinicius  Di Leo","GraduateSemester,UndergraduateSemester",0.000 Credits,STEMUSG
202108,Aerospace Engineering,Intro Exper Methods AE,93945,AE 2610,A10,Class,5:00 pm - 6:55 pm,F,Engineering Sci and Mechanics G4,"Wenting   Sun (P), Claudio Vinicius  Di Leo","GraduateSemester,UndergraduateSemester",0.000 Credits,STEMUSG
202108,Aerospace Engineering,Technical Commun for AE,86074,AE 2611,A,Class,12:30 pm - 1:20 pm,F,Weber SST III 2,Christopher   Carr (P),"GraduateSemester,UndergraduateSemester",1.000 Credits,STEMUSG
202108,Aerospace Engineering,Research Assistantship,89506,AE 2698,CHE,Class,TBA,,TBA,Yongxin   Chen (P),"GraduateSemester,UndergraduateSemester",1.000 TO       12.000 Credits,
202108,Aerospace Engineering,Research Assistantship,90212,AE 2698,CHR,Class,TBA,,TBA,John Allen  Christian (P),"GraduateSemester,UndergraduateSemester",1.000 TO       12.000 Credits,
202108,Aerospace Engineering,Research Assistantship,90122,AE 2698,DEC,Class,TBA,,TBA,John Allen  Dec (P),"GraduateSemester,UndergraduateSemester",1.000 TO       12.000 Credits,
202108,Aerospace Engineering,Research Assistantship,87579,AE 2698,DIL,Class,TBA,,TBA,Claudio Vinicius  Di Leo (P),"GraduateSemester,UndergraduateSemester",1.000 TO       12.000 Credits,
202108,Aerospace Engineering,Research Assistantship,90109,AE 2698,GRI,Class,TBA,,TBA,Kelly Ann  Griendling (P),"GraduateSemester,UndergraduateSemester",1.000 TO       12.000 Credits,
202108,Aerospace Engineering,Research Assistantship,90103,AE 2698,HO,Class,TBA,,TBA,Koki   Ho (P),"GraduateSemester,UndergraduateSemester",1.000 TO       12.000 Credits,
202108,Aerospace Engineering,Research Assistantship,83252,AE 2698,JAG,Class,TBA,,TBA,Jechiel   Jagoda (P),"GraduateSemester,UndergraduateSemester",1.000 TO       12.000 Credits,
202108,Aerospace Engineering,Research Assistantship,84902,AE 2698,LIE,Class,TBA,,TBA,Tim Charles  Lieuwen (P),"GraduateSemester,UndergraduateSemester",1.000 TO       12.000 Credits,
202108,Aerospace Engineering,Research Assistantship,82880,AE 2698,MAV,Class,TBA,,TBA,Dimitrios N  Mavris (P),"GraduateSemester,UndergraduateSemester",1.000 TO       12.000 Credits,
202108,Aerospace Engineering,Research Assistantship,90228,AE 2698,MEN,Class,TBA,,TBA,Suresh   Menon (P),"GraduateSemester,UndergraduateSemester",1.000 TO       12.000 Credits,
