courseTerm,crn,seatCapacity,seatActual,seatRemaining,waitlistCapacity,waitlistActual,waitlistRemaining
202105,53690,0,0,0,0,0,0
202202,27673,5,3,2,0,0,0
202202,28717,25,25,0,5,1,4
202108,89289,5,1,4,0,0,0
202105,55378,10,0,10,0,0,0
202108,91759,46,45,1,5,0,5
202105,55653,2,0,2,0,0,0
202202,27674,5,2,3,0,0,0
202108,94095,12,8,4,5,0,5
202202,28712,25,25,0,5,2,3
202108,89290,5,3,2,0,0,0
202105,54012,10,0,10,0,0,0
202202,20002,48,48,0,0,0,0
202108,91551,16,8,8,5,0,5
202105,60010,10,1,9,0,0,0
202108,90565,5,2,3,0,0,0
202202,24727,65,65,0,0,0,0
202108,85218,20,17,3,0,0,0
202105,60139,75,29,46,0,0,0
202105,55266,10,0,10,0,0,0
202202,28718,50,41,9,0,0,0
202202,30913,75,0,75,0,0,0
202202,25222,17,12,5,0,0,0
202105,59302,20,9,11,5,0,5
202105,60313,10,2,8,0,0,0
202108,91561,10,3,7,0,0,0
202108,90567,5,2,3,0,0,0
202105,57570,10,0,10,0,0,0
202202,28719,25,21,4,5,0,5
202202,33582,15,11,4,0,0,0
202202,28552,55,42,13,0,0,0
202108,89298,10,2,8,0,0,0
202105,60471,5,0,5,0,0,0
202105,59303,20,11,9,5,0,5
202202,28720,25,20,5,5,0,5
202108,80002,49,45,4,0,0,0
202202,33627,15,10,5,0,0,0
202105,56881,10,0,10,0,0,0
202108,82394,5,0,5,0,0,0
202105,60840,1,1,0,0,0,0
202202,28553,55,55,0,0,0,0
202202,33180,51,50,0,15,12,3
202108,85491,55,53,2,0,0,0
202105,59304,20,8,12,5,0,5
202202,30914,20,12,8,0,0,0
202105,59984,10,0,10,0,0,0
202105,59148,25,18,7,0,0,0
202108,82391,5,0,5,0,0,0
202202,32252,17,11,6,0,0,0
202202,31318,15,16,0,5,1,4
202105,60140,75,15,60,0,0,0
202202,30915,20,12,8,0,0,0
202108,86072,20,11,9,0,0,0
202105,60845,10,1,9,0,0,0
202108,83281,5,3,2,0,0,0
202105,59147,25,17,8,0,0,0
202202,27675,5,0,5,0,0,0
202202,31317,10,3,7,0,0,0
202105,55612,10,1,9,0,0,0
202108,90553,80,0,80,0,0,0
202108,93504,60,32,28,0,0,0
202108,82393,5,0,5,0,0,0
202202,33628,15,10,5,0,0,0
202105,60371,40,19,21,10,0,10
202105,59150,20,16,4,0,0,0
202202,27676,5,4,1,0,0,0
202108,92854,20,12,8,0,0,0
202202,33406,30,25,5,0,0,0
202105,57505,10,0,10,0,0,0
202202,30916,20,10,10,0,0,0
202108,82395,5,0,5,0,0,0
202105,60466,10,1,9,5,0,5
202108,93505,60,49,11,0,0,0
202105,57786,10,2,8,0,0,0
202202,28765,7,7,0,0,0,0
202108,94812,20,12,8,0,0,0
202202,33046,15,7,8,5,0,5
202105,52841,10,0,10,0,0,0
202105,53958,10,1,9,0,0,0
202202,30690,37,37,0,0,0,0
202108,83282,10,7,3,0,0,0
202105,60372,12,8,4,5,0,5
202108,89291,5,0,5,0,0,0
202105,60935,10,2,8,0,0,0
202202,21968,7,7,0,0,0,0
202108,92718,15,13,2,0,0,0
