courseTerm,crn,seatCapacity,seatActual,seatRemaining,waitlistCapacity,waitlistActual,waitlistRemaining
202205,52923,75,0,75,25,0,25
202202,25245,65,65,0,25,0,25
202208,80684,75,0,75,25,0,25
202205,52924,75,0,75,25,0,25
202202,20643,65,65,0,25,0,25
202208,85488,75,0,75,25,0,25
202202,25244,65,49,16,25,0,25
202208,82300,75,0,75,25,0,25
202208,80683,75,0,75,25,0,25
202202,20642,65,63,2,25,0,25
202208,82295,75,0,75,25,0,25
202202,25261,65,34,31,25,0,25
202208,85522,75,0,75,25,0,25
202202,30711,65,63,2,25,0,25
202208,80685,45,0,45,20,0,20
202202,22178,65,65,0,25,0,25
202208,86924,65,0,65,0,0,0
202208,86925,50,0,50,0,0,0
202202,32156,65,42,23,0,0,0
202208,86926,50,0,50,0,0,0
202202,32157,50,26,24,0,0,0
202208,86927,50,0,50,0,0,0
202205,54413,250,0,250,30,0,30
202202,32158,50,17,33,0,0,0
202205,57200,0,0,0,0,0,0
202202,32159,50,13,37,0,0,0
202205,54799,40,0,40,0,0,0
202205,54150,100,0,100,30,0,30
202205,54126,25,0,25,0,0,0
202205,54737,150,0,150,0,0,0
202205,55672,40,0,40,0,0,0
202205,54424,50,0,50,0,0,0
202208,85161,50,0,50,0,0,0
202202,24911,252,251,1,55,0,55
202205,52757,40,0,40,0,0,0
202205,55608,50,0,50,0,0,0
202205,56507,200,0,200,0,0,0
202208,83265,50,0,50,0,0,0
202202,26448,252,250,2,55,0,55
202208,86876,50,0,50,0,0,0
202205,55514,125,0,125,0,0,0
202205,55134,5,0,5,0,0,0
202202,30218,251,250,1,50,0,50
202208,92414,50,0,50,0,0,0
202208,91164,0,0,0,0,0,0
202205,50002,27,0,27,0,0,0
202202,30987,40,39,1,0,0,0
202202,24441,255,255,0,50,0,50
202205,55517,25,0,25,5,0,5
202205,57173,25,0,25,25,0,25
202208,89912,40,0,40,0,0,0
202208,92994,0,0,0,0,0,0
202202,24442,254,254,0,55,0,55
202205,55523,25,0,25,10,0,10
202205,54425,50,0,50,0,0,0
202205,57174,25,0,25,25,0,25
202202,30989,40,28,12,0,0,0
202208,83436,40,0,40,0,0,0
202208,84640,50,0,50,0,0,0
202205,55609,45,0,45,0,0,0
202202,24443,250,249,1,40,0,40
202205,56059,25,0,25,10,0,10
202202,30990,40,28,12,0,0,0
202205,57269,5,0,5,25,0,25
202208,91820,0,0,0,0,0,0
202205,55135,5,0,5,0,0,0
202202,28693,175,174,1,0,0,0
202205,55524,25,0,25,5,0,5
202205,57175,25,0,25,25,0,25
202202,33589,50,39,11,0,0,0
202208,84641,0,0,0,0,0,0
202205,55537,40,0,40,0,0,0
202202,28703,25,24,1,5,0,5
202205,55525,16,0,16,5,0,5
202205,56344,30,0,30,25,0,25
202208,89339,175,0,175,0,0,0
202202,28694,25,25,0,10,0,10
202205,55538,20,0,20,0,0,0
202208,89344,25,0,25,10,0,10
202202,28707,25,25,0,5,0,5
202205,57087,30,0,30,0,0,0
202208,88269,22,0,22,25,0,25
202205,55546,20,0,20,0,0,0
202208,89340,27,0,27,10,0,10
202205,57080,30,0,30,0,0,0
202202,27696,25,23,2,25,0,25
202205,57332,30,0,30,0,0,0
202202,28702,25,25,0,5,0,5
202208,89876,22,0,22,25,0,25
202205,55539,40,0,40,0,0,0
202208,89348,25,0,25,10,0,10
202208,89426,16,0,16,0,0,0
202205,51979,5,0,5,0,0,0
202202,33787,25,12,13,25,0,25
202205,54819,125,0,125,0,0,0
202205,52652,10,0,10,0,0,0
202208,82988,22,0,22,25,0,25
202202,28764,16,16,0,0,0,0
202202,28696,25,25,0,5,0,5
202208,89343,25,0,25,10,0,10
202208,82083,16,0,16,0,0,0
202205,51743,5,0,5,0,0,0
202202,29132,18,17,1,25,0,25
202205,54759,50,0,50,0,0,0
202205,56136,10,0,10,0,0,0
202202,28704,25,25,0,10,0,10
202202,21967,16,16,0,0,0,0
202208,92772,18,0,18,25,0,25
202208,89342,25,0,25,10,0,10
202205,52125,5,0,5,0,0,0
202208,87245,75,0,75,0,0,0
202202,32894,25,10,15,25,0,25
202205,53048,1,0,1,0,0,0
202205,52648,10,0,10,0,0,0
202202,26779,95,76,19,0,0,0
202202,28695,25,25,0,5,0,5
202208,87246,68,0,68,0,0,0
202205,52492,5,0,5,0,0,0
202208,89345,26,0,26,10,0,10
202205,57362,25,0,25,0,0,0
202205,51417,10,0,10,0,0,0
202202,26780,57,57,0,0,0,0
202202,28709,175,173,2,0,0,0
202208,89341,25,0,25,10,0,10
202208,87247,46,0,46,0,0,0
202205,51749,5,0,5,0,0,0
202205,57363,25,0,25,0,0,0
202205,54327,10,0,10,0,0,0
202208,91725,4,0,4,25,0,25
202202,26781,48,23,25,0,0,0
202202,28715,25,24,1,5,0,5
202202,32769,1,1,0,25,0,25
202208,89350,175,0,175,0,0,0
202205,51750,5,0,5,0,0,0
202208,85438,67,0,67,0,0,0
202205,57364,25,0,25,0,0,0
202205,56825,10,0,10,0,0,0
202202,32896,11,8,3,25,0,25
202202,25204,85,78,7,0,0,0
202202,28710,25,25,0,5,0,5
202208,89356,25,0,25,10,0,10
202205,52491,5,0,5,0,0,0
202208,85440,57,0,57,0,0,0
202205,57345,25,0,25,0,0,0
202205,56128,10,0,10,0,0,0
202208,89351,25,0,25,10,0,10
202202,28714,25,25,0,5,0,5
202202,25205,72,42,30,0,0,0
202205,54543,5,0,5,0,0,0
202208,86156,50,0,50,0,0,0
202205,56540,15,0,15,0,0,0
202205,53427,10,0,10,0,0,0
202202,28713,25,25,0,5,0,5
202208,89357,25,0,25,10,0,10
202208,91346,70,0,70,0,0,0
202205,51751,5,0,5,0,0,0
202202,25799,10,2,8,0,0,0
202205,57343,25,0,25,0,0,0
202205,52651,10,0,10,0,0,0
202202,28716,25,24,1,5,0,5
202208,91347,65,0,65,0,0,0
202208,89355,25,0,25,10,0,10
202205,56578,10,0,10,0,0,0
202202,28550,75,76,0,0,0,0
202205,55697,15,0,15,0,0,0
202205,56187,10,0,10,0,0,0
202208,92325,50,0,50,0,0,0
202208,89354,25,0,25,10,0,10
202202,28717,25,25,0,5,0,5
202205,57338,40,0,40,0,0,0
202202,28551,60,23,37,0,0,0
202205,52552,10,0,10,0,0,0
202202,28712,25,25,0,5,0,5
202208,89358,25,0,25,10,0,10
202208,88231,5,0,5,0,0,0
202205,57360,25,0,25,0,0,0
202202,32295,10,2,8,0,0,0
202205,53979,10,0,10,0,0,0
202202,28718,50,41,9,0,0,0
202208,89353,25,0,25,10,0,10
202208,88232,5,0,5,0,0,0
202205,55698,7,0,7,0,0,0
202205,56166,10,0,10,0,0,0
202202,27673,5,3,2,0,0,0
202202,28719,25,20,5,5,0,5
202208,93590,175,0,175,0,0,0
202208,89196,5,0,5,0,0,0
202205,57082,96,0,96,0,0,0
202205,56861,10,0,10,0,0,0
202205,57346,25,0,25,0,0,0
202208,89198,5,0,5,0,0,0
202208,93395,25,0,25,10,0,10
202202,27674,5,4,1,0,0,0
202202,28720,25,21,4,5,0,5
202205,57299,20,0,20,5,0,5
202208,80002,49,0,49,0,0,0
202205,52853,10,0,10,0,0,0
202205,55960,10,0,10,0,0,0
202202,33180,51,51,0,15,0,15
202208,93396,25,0,25,10,0,10
202202,20002,48,48,0,0,0,0
202205,57300,20,0,20,0,0,0
202205,57344,25,0,25,0,0,0
202208,84943,55,0,55,0,0,0
202205,54514,10,0,10,0,0,0
